03-12-2024,13:42:58
Wavenumber(cm-1),Intensity
 539 , 2889.18 
 540 , 2898.69 
 541 , 2906.2 
 542 , 2910.18 
 543 , 2909.61 
 544 , 2903.86 
 545 , 2893.91 
 546 , 2883.32 
 547 , 2875.15 
 548 , 2868.9 
 549 , 2863.28 
 550 , 2859.75 
 551 , 2861.66 
 552 , 2869.29 
 553 , 2877.58 
 554 , 2881.83 
 555 , 2881.61 
 556 , 2877.68 
 557 , 2870.69 
 558 , 2861.23 
 559 , 2850.25 
 560 , 2839.27 
 561 , 2829.75 
 562 , 2822.7 
 563 , 2818.89 
 564 , 2817.51 
 565 , 2816.67 
 566 , 2815.56 
 567 , 2815.3 
 568 , 2817.11 
 569 , 2821.8 
 570 , 2829.89 
 571 , 2839.73 
 572 , 2848.17 
 573 , 2853.36 
 574 , 2855.61 
 575 , 2854.64 
 576 , 2847.24 
 577 , 2829.98 
 578 , 2806.14 
 579 , 2783.23 
 580 , 2764.64 
 581 , 2747.4 
 582 , 2729.49 
 583 , 2714.32 
 584 , 2706.03 
 585 , 2703.95 
 586 , 2704.58 
 587 , 2707.29 
 588 , 2715.42 
 589 , 2730.88 
 590 , 2749.56 
 591 , 2766.43 
 592 , 2779.81 
 593 , 2789.88 
 594 , 2796.81 
 595 , 2800.82 
 596 , 2801.83 
 597 , 2798.92 
 598 , 2791.37 
 599 , 2781.28 
 600 , 2771.99 
 601 , 2764.95 
 602 , 2759.47 
 603 , 2755.67 
 604 , 2755.93 
 605 , 2762.49 
 606 , 2773.89 
 607 , 2787.24 
 608 , 2800.02 
 609 , 2810.07 
 610 , 2816.67 
 611 , 2822.11 
 612 , 2828.29 
 613 , 2832.76 
 614 , 2831.93 
 615 , 2826.51 
 616 , 2820.58 
 617 , 2816.38 
 618 , 2812.67 
 619 , 2808.57 
 620 , 2806.21 
 621 , 2808.15 
 622 , 2811.97 
 623 , 2812.21 
 624 , 2807.77 
 625 , 2803.92 
 626 , 2804.59 
 627 , 2807.42 
 628 , 2809.26 
 629 , 2811.25 
 630 , 2816.59 
 631 , 2824.71 
 632 , 2830.66 
 633 , 2831.53 
 634 , 2830.3 
 635 , 2830.22 
 636 , 2830.38 
 637 , 2828.31 
 638 , 2823.9 
 639 , 2819.08 
 640 , 2815.15 
 641 , 2811.98 
 642 , 2810.24 
 643 , 2815.27 
 644 , 2833.19 
 645 , 2862.88 
 646 , 2898.25 
 647 , 2931.04 
 648 , 2949.88 
 649 , 2946.61 
 650 , 2924.74 
 651 , 2890.3 
 652 , 2849.22 
 653 , 2807.43 
 654 , 2771.95 
 655 , 2751.05 
 656 , 2748.55 
 657 , 2757.28 
 658 , 2768.99 
 659 , 2778.49 
 660 , 2781.91 
 661 , 2779.05 
 662 , 2772.61 
 663 , 2764.49 
 664 , 2755.11 
 665 , 2745.28 
 666 , 2738.01 
 667 , 2736.47 
 668 , 2739.62 
 669 , 2744.18 
 670 , 2748.42 
 671 , 2752.56 
 672 , 2756.42 
 673 , 2758.54 
 674 , 2757.72 
 675 , 2755.57 
 676 , 2754.64 
 677 , 2754.47 
 678 , 2752.11 
 679 , 2746.08 
 680 , 2737.53 
 681 , 2727.7 
 682 , 2717.29 
 683 , 2706.87 
 684 , 2697.38 
 685 , 2690.01 
 686 , 2686.71 
 687 , 2690.28 
 688 , 2701.6 
 689 , 2716.43 
 690 , 2730.35 
 691 , 2742.44 
 692 , 2752.83 
 693 , 2759.37 
 694 , 2758.18 
 695 , 2748.93 
 696 , 2737.07 
 697 , 2727.13 
 698 , 2718.77 
 699 , 2710.83 
 700 , 2704.39 
 701 , 2701.51 
 702 , 2701.79 
 703 , 2702.28 
 704 , 2701.59 
 705 , 2701.78 
 706 , 2704.56 
 707 , 2707.84 
 708 , 2708.7 
 709 , 2707.46 
 710 , 2706.47 
 711 , 2706.84 
 712 , 2708.03 
 713 , 2710.18 
 714 , 2715.54 
 715 , 2726.16 
 716 , 2740.61 
